"uid","gene_name","alias","desc"
"100306444","LOC100306444","GLYMA_09G130400","heavy-metal-associated domain-containing protein"
"100777208","LOC100777208","GLYMA_18G254100","AAA-ATPase ASD, mitochondrial"
"100305963","LOC100305963","GLYMA_06G295400","uncharacterized LOC100305963"
"100795913","LOC100795913","GLYMA_14G212200","U-box domain-containing protein 20"
"106799532","LOC106799532","GLYMA_08G151100","protein QUIRKY-like"
"100776077","LOC100776077","GLYMA_15G268200","uncharacterized LOC100776077"
NA,".",NA,NA
"100776174","LOC100776174","GLYMA_11G129600","cyanogenic beta-glucosidase"
NA,".",NA,NA
"100805877","LOC100805877","GLYMA_01G126600","dirigent protein 22"
"100781700","LOC100781700","GLYMA_11G242100","uncharacterized LOC100781700"
"100526891","LOC100526891","GLYMA_12G049300","uncharacterized LOC100526891"
"778184","LOC778184","GLYMA_12G104800, MYB122","transcription factor MYB30"
"100795302","LOC100795302","GLYMA_03G201500","NDR1/HIN1-like protein 10"
"100527669","LOC100527669","GLYMA_16G177900","uncharacterized LOC100527669"
"100813287","LOC100813287","GLYMA_05G033600","uncharacterized LOC100813287"
"100801229","LOC100801229","GLYMA_15G048700","pinin"
"100775571","LOC100775571","GLYMA_17G245100","uncharacterized LOC100775571"
"100802800","LOC100802800","GLYMA_13G112000","protein TIFY 10A-like"
"100305767","LOC100305767","GLYMA_08G158100","uncharacterized LOC100305767"
"100802275","LOC100802275","GLYMA_06G135900","uncharacterized LOC100802275"
NA,".",NA,NA
"4327651","WRKY5","OSNPB_010584900, P0712E02.9, WRKY5","WRKY transcription factor SUSIBA2"
"100809123","LOC100809123","GLYMA_03G202600","E3 ubiquitin-protein ligase PUB22"
"100792170","LOC100792170","GLYMA_20G124200","uncharacterized LOC100792170"
"100789075","CHS3C","GLYMA_08G110300, GmCHS3c","chalcone synthase 3"
"100820563","LOC100820563","GLYMA_13G032100","probable receptor-like protein kinase At1g11050"
NA,".",NA,NA
NA,".",NA,NA
"547566","LOC547566","GLYMA_03G253200","indole-3-acetic acid induced protein ARG-2 homolog"
"102661590","LOC102661590","GLYMA_19G202300","VQ motif-containing protein 8, chloroplastic"
"100526897","LOC100526897","GLYMA_03G173300","C2H2-type zinc finger protein"
"547527","LOC547527","","extensin-like"
"851752","CHS5","YDR172W, GST1, PNM2, SAL3, SUF12, SUP2, SUP36","translation termination factor GTPase eRF3"
"100817853","LOC100817853","GLYMA_11G198300","oxalate--CoA ligase"
NA,".",NA,NA
"100815336","LOC100815336","GLYMA_02G268200","1-aminocyclopropane-1-carboxylate oxidase-like"
"100820185","LOC100820185","GLYMA_19G233900","respiratory burst oxidase homolog protein B"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"100785031","LOC100785031","GLYMA_02G172200","probable L-type lectin-domain containing receptor kinase S.5"
"100784637","LOC100784637","GLYMA_08G074200","J domain-containing protein"
"100801665","LOC100801665","GLYMA_02G055000","uncharacterized LOC100801665"
NA,".",NA,NA
NA,".",NA,NA
"100816563","LOC100816563","GLYMA_17G128900","putative calcium-binding protein CML19"
"100788896","LOC100788896","GLYMA_16G008500","putative receptor-like protein kinase At1g72540"
"100776669","LOC100776669","GLYMA_02G035200","uncharacterized LOC100776669"
"100527186","LOC100527186","GLYMA_08G045200","nudix hydrolase family protein"
"100798531","LOC100798531","GLYMA_05G047100","putative calcium-binding protein CML19"
"100819128","LOC100819128","GLYMA_20G013400","uncharacterized protein At1g66480"
"100778467","LOC100778467","GLYMA_10G045400","zinc finger protein ZAT11"
"100780361","LOC100780361","GLYMA_01G195300","uncharacterized LOC100780361"
NA,".",NA,NA
"100790997","CHS9","GLYMA_08G109500","chalcone synthase 9"
"100793366","LOC100793366","GLYMA_03G111700","ethylene-responsive transcription factor 13"
"102666009","LOC102666009","GLYMA_12G104600, GmMYB6","transcription factor MYB13"
"100527075","LOC100527075","GLYMA_03G015800","C2 domain-containing protein"
NA,".",NA,NA
"100783411","LOC100783411","GLYMA_16G178500","heavy metal-associated isoprenylated plant protein 39"
"111240476","LOC111240476","GLYMA_04G136200","putative calcium-binding protein"
"102662455","LOC102662455","GLYMA_20G134000","uncharacterized LOC102662455"
NA,".",NA,NA
"100806731","LOC100806731","GLYMA_15G263600","uncharacterized LOC100806731"
NA,".",NA,NA
"100804202","LOC100804202","GLYMA_13G157400","uncharacterized LOC100804202"
"100784458","LOC100784458","GLYMA_07G248600","protein SRC2-like"
"100500571","LOC100500571","GLYMA_11G046400","VQ motif-containing protein"
"100500248","LOC100500248","GLYMA_05G184500","WRKY DNA -binding domain-containing protein"
"100815706","CYP93A3","GLYMA_03G142100","cytochrome P450 93A3"
NA,".",NA,NA
"100795384","SCOF-1","GLYMA_14G088300, SCOF-1","zinc finger protein ZAT10-like"
"100527767","LOC100527767","GLYMA_15G119100","alpha-amylase inhibitor/lipid transfer/seed storage family protein"
"100811437","LOC100811437","GLYMA_04G053300","aminopeptidase M1"
"100787531","LOC100787531","GLYMA_10G079700","NDR1/HIN1-like protein 10"
"100779615","LOC100779615","GLYMA_07G233900","pleiotropic drug resistance protein 3"
"100807117","LOC100807117","GLYMA_09G270900","calcium-binding protein CAST"
"100306181","LOC100306181","GLYMA_20G129900","BSP domain-containing protien"
"100306678","LOC100306678","GLYMA_09G131100","uncharacterized LOC100306678"
NA,".",NA,NA
"100793739","LOC100793739","GLYMA_19G112500","uncharacterized LOC100793739"
"100792511","LOC100792511","GLYMA_04G040300","transferase family protein"
"100500250","LOC100500250","","uncharacterized LOC100500250"
NA,".",NA,NA
"100527140","LOC100527140","GLYMA_12G110100","uncharacterized LOC100527140"
"100500309","LOC100500309","GLYMA_13G085800","uncharacterized LOC100500309"
NA,".",NA,NA
NA,".",NA,NA
"100527005","LOC100527005","GLYMA_03G157800","uncharacterized LOC100527005"
NA,".",NA,NA
"100784972","LOC100784972","GLYMA_14G099200","thermospermine synthase ACAULIS5"
NA,".",NA,NA
NA,".",NA,NA
"113001460","LOC113001460","GLYMA_04G228800","uncharacterized LOC113001460"
"100779173","LOC100779173","GLYMA_10G036600","ethylene-responsive transcription factor ERF098-like protein"
"100794122","LOC100794122","GLYMA_06G286600","probable O-methyltransferase 3"
"100801339","LOC100801339","GLYMA_12G073000, MPK3","mitogen-activated protein kinase 3"
NA,".",NA,NA
NA,".",NA,NA
"100816707","LOC100816707","GLYMA_08G173800","cold-responsive protein kinase 1"
NA,".",NA,NA
"100812201","LOC100812201","GLYMA_05G136100","glutamate decarboxylase 1-like"
"100527184","LOC100527184","GLYMA_01G129100","uncharacterized LOC100527184"
"100792691","LOC100792691","GLYMA_11G048300","calcium-transporting ATPase 2, plasma membrane-type"
"100500367","LOC100500367","","uncharacterized LOC100500367"
"100526987","LOC100526987","GLYMA_10G002200","calmodulin-like protein"
NA,".",NA,NA
"100788672","LOC100788672","","protein ALP1-like"
"100800095","LOC100800095","GLYMA_04G044900","zinc finger protein ZAT10"
"100788183","LOC100788183","GLYMA_08G044400","protein SAR DEFICIENT 1"
"100780940","LOC100780940","GLYMA_02G088700","LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.4"
"102663683","LOC102663683","GLYMA_10G273300","VQ motif-containing protein 8, chloroplastic"
"100174967","HS1pro1","GLYMA_02G255400","nematode resistance HS1pro1 protein"
NA,".",NA,NA
"100796453","LOC100796453","GLYMA_15G109500","probable F-box protein At4g22030"
"100776840","LOC100776840","GLYMA_02G280100","uncharacterized LOC100776840"
NA,".",NA,NA
NA,".",NA,NA
"100781051","LOC100781051","GLYMA_14G158600","putative wall-associated receptor kinase-like 16"
"100306254","LOC100306254","GLYMA_16G178000","uncharacterized LOC100306254"
NA,".",NA,NA
"100813644","LOC100813644","GLYMA_13G302500","coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 2"
"100784518","LOC100784518","GLYMA_02G257700","probable 2-oxoglutarate-dependent dioxygenase At5g05600"
"818395","PHT1-1","AT2G38170, ATCAX1, F16M14.10, F16M14_10, HIGH AFFINITY CALCIUM ANTIPORTER CAX1, RARE COLD INDUCIBLE 4, RCI4, cation exchanger 1","cation exchanger 1"
"100817285","LOC100817285","GLYMA_02G063900","MLO-like protein 12"
"21898","SCA1","Lps, Ly87, Ran/M1, Rasl2-8","toll-like receptor 4"
NA,".",NA,NA
NA,".",NA,NA
"41275","41275","Dmel_CG14688, CG14688, Dmel\CG14688, PHYH, PHYHD1","Phytanoyl-CoA dioxygenase domain containing 1"
NA,".",NA,NA
"100526951","LOC100526951","GLYMA_05G099300","uncharacterized LOC100526951"
"547685","NRP-A","GLYMA_20G066100, NRP","N-rich protein"
"100790182","LOC100790182","GLYMA_02G242900","U-box domain-containing protein 21"
"100811915","LOC100811915","GLYMA_17G159600","uncharacterized LOC100811915"
"100812342","LOC100812342","GLYMA_03G236300","respiratory burst oxidase homolog protein B"
NA,".",NA,NA
"100778648","LOC100778648","GLYMA_11G181200","probable F-box protein At2g36090"
"100301898","GSTIR","GLYMA_02G023800, GmTIR","TIR-NBS-LRR type disease resistance protein"
"100500311","LOC100500311","GLYMA_17G105000","uncharacterized LOC100500311"
NA,".",NA,NA
"100780775","LOC100780775","GLYMA_10G036700","ethylene-response factor C3"
"100779649","CHS4A","GLYMA_08G110700, CHS4, GmCHS4a","chalcone synthase 4a"
"102669198","LOC102669198","GLYMA_09G051900","uncharacterized LOC102669198"
"100807966","LOC100807966","GLYMA_07G023300","probable WRKY transcription factor 40"
"7157","Ep","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53"
"102661753","LOC102661753","GLYMA_16G070100","protein LURP-one-related 10"
"100795681","LOC100795681","GLYMA_20G125500","uncharacterized LOC100795681"
"100797171","LOC100797171","GLYMA_08G015700","BTB/POZ domain-containing protein At5g41330"
"100787073","LOC100787073","GLYMA_13G106400","peroxidase N-like"
"100803218","LOC100803218","GLYMA_01G037200","metalloendoproteinase 5-MMP"
NA,".",NA,NA
"100782266","CRK70","GLYMA_20G137900, GmCRK70","cysteine-rich receptor-like protein kinase"
NA,".",NA,NA
"100808718","LOC100808718","GLYMA_02G195300","syntaxin-121-like"
"100811298","LOC100811298","GLYMA_12G093100","probable CCR4-associated factor 1 homolog 11"
"100809653","LOC100809653","GLYMA_02G082700","tryptophan aminotransferase-related protein 3"
"100778488","LOC100778488","GLYMA_19G188100","probable 2-oxoglutarate/Fe(II)-dependent dioxygenase-like"
"100781699","LOC100781699","GLYMA_11G203000","NDR1/HIN1-like protein 6"
"100799857","LOC100799857","GLYMA_02G029400","zinc finger protein 5"
"100306396","LOC100306396","GLYMA_13G283600","calcium-binding protein PBP1-like protein"
NA,".",NA,NA
"100810449","LOC100810449","GLYMA_07G190100","F-box protein At1g61340"
"100799731","LOC100799731","GLYMA_12G054200","cyanogenic beta-glucosidase"
"100796768","LOC100796768","GLYMA_13G322500","probable xyloglucan endotransglucosylase/hydrolase protein 32-like"
"100802257","LOC100802257","GLYMA_05G237200","protein SAR DEFICIENT 1"
"100807339","LOC100807339","GLYMA_11G195800","P-loop NTPase domain-containing protein LPA1 homolog 1"
"100780344","LOC100780344","GLYMA_15G124900","leucine-rich repeat receptor protein kinase HPCA1"
"100792833","LOC100792833","GLYMA_18G208800","probable WRKY transcription factor 33"
"100793329","LOC100793329","GLYMA_09G205700","cinnamoyl-CoA reductase-like SNL6"
"100791368","LOC100791368","GLYMA_16G062600","lysine histidine transporter 1"
"100782591","LOC100782591","GLYMA_03G041000","protein LURP-one-related 15"
"100787174","LOC100787174","GLYMA_18G171400","E3 ubiquitin-protein ligase PRT1"
"57572","AOS2","AOS2, ZIR1","dedicator of cytokinesis 6"
"102663102","LOC102663102","GLYMA_20G116600","VQ motif-containing protein 8, chloroplastic"
NA,".",NA,NA
"100810865","LOC100810865","GLYMA_10G156500","E3 ubiquitin-protein ligase ATL6"
"100776837","LOC100776837","GLYMA_09G280200","probable WRKY transcription factor 33"
"100802124","LOC100802124","GLYMA_15G110300","probable WRKY transcription factor 31"
"818982","MYB92","AT2G43790, ATMAPK6, ATMPK6, F18O19.10, MAP KINASE 6, MAP kinase 6, MAPK6","MAP kinase 6"
"112997608","LOC112997608","","cysteine-rich receptor-like protein kinase 2"
NA,".",NA,NA
"100790403","LOC100790403","GLYMA_04G182600","transcription factor bHLH162"
"100800966","LOC100800966","GLYMA_11G214500","U-box domain-containing protein"
"100792833","LOC100792833","GLYMA_18G208800","probable WRKY transcription factor 33"
"778182","LOC778182","GLYMA_03G227700, MYB160","transcription factor MYB86"
"1401","POD","PTX1","C-reactive protein"
"100803213","LOC100803213","GLYMA_09G182400","protein SAR DEFICIENT 1"
"100527101","LOC100527101","GLYMA_04G178500","uncharacterized LOC100527101"
"100813636","LOC100813636","GLYMA_05G168400","ferredoxin-A"
"100812027","LOC100812027","GLYMA_06G125600","probable WRKY transcription factor 53"
"100500462","LOC100500462","GLYMA_13G123000","uncharacterized LOC100500462"
"100777295","LOC100777295","GLYMA_13G361900","pleiotropic drug resistance protein 1"
"100777554","LOC100777554","GLYMA_10G230000","protein SGT1 homolog B-like"
"547482","B13-1-9","GLYMA_03G201300","syringolide-induced protein B13-1-9"
NA,".",NA,NA
"100810852","LOC100810852","GLYMA_02G233900","peroxidase P7"
NA,".",NA,NA
"100499858","LOC100499858","GLYMA_13G286600","uncharacterized LOC100499858"
"100802708","LOC100802708","","protein ALP1-like"
NA,".",NA,NA
NA,".",NA,NA
"100796623","ANN11","GLYMA_15G238400","annexin D4-like"
"100784766","LOC100784766","GLYMA_20G030600","uncharacterized LOC100784766"
"100306091","LOC100306091","GLYMA_10G257200","uncharacterized LOC100306091"
"100306656","LOC100306656","GLYMA_15G146600","SRPBCC domain-containing protein"
"732593","LOC732593","GLYMA_06G321600","FAD-linked oxidoreductase 2"
"100791253","LOC100791253","GLYMA_18G260700","probable calcium-binding protein CML46"
NA,".",NA,NA
"100527399","LOC100527399","GLYMA_08G032800","uncharacterized LOC100527399"
"100780155","LOC100780155","GLYMA_14G049200","1-aminocyclopropane-1-carboxylate oxidase"
"100791118","LOC100791118","GLYMA_12G206700","signaling peptide TAXIMIN 2"
"842733","WRKY6","AT1G64280, ARABIDOPSIS NONEXPRESSER OF PR GENES 1, ATNPR1, F15H21.6, F15H21_6, NIM1, NON-INDUCIBLE IMMUNITY 1, NONEXPRESSER OF PR GENES 1, REGULATORY PROTEIN NPR1, SAI1, SALICYLIC ACID INSENSITIVE 1","regulatory protein (NPR1)"
NA,".",NA,NA
"100807098","LOC100807098","GLYMA_15G170500","putative transcription factor bHLH041"
"100305397","LOC100305397","GLYMA_17G048900","kinase-like protein"
"100799160","LOC100799160","GLYMA_10G185200","calmodulin calcium-dependent NAD kinase"
"100815874","LOC100815874","GLYMA_02G000800","transcription factor bHLH92"
"100803345","LOC100803345","GLYMA_07G054000","MYB-like transcription factor 4"
"100785752","LOC100785752","GLYMA_02G237300","probable LRR receptor-like serine/threonine-protein kinase At1g06840"
"100806458","LOC100806458","GLYMA_03G120000","alpha-L-arabinofuranosidase 1"
NA,".",NA,NA
NA,".",NA,NA
"100813462","LOC100813462","GLYMA_13G043800","ABC transporter G family member 1"
"102667147","LOC102667147","GLYMA_08G096000","VQ motif-containing protein 1"
"102663242","LOC102663242","GLYMA_20G116700","uncharacterized LOC102663242"
"100792830","LOC100792830","GLYMA_18G020600","uncharacterized LOC100792830"
"840452","WRKY49","AT1G35560, AtTCP23, F15O4.35, TCP domain protein 23, TCP23","TCP family transcription factor"
"818982","WRKY58","AT2G43790, ATMAPK6, ATMPK6, F18O19.10, MAP KINASE 6, MAP kinase 6, MAPK6","MAP kinase 6"
NA,".",NA,NA
NA,".",NA,NA
"100800451","LOC100800451","GLYMA_20G144600","linoleate 9S-lipoxygenase 5"
"100812618","LOC100812618","GLYMA_15G179600","protein TIFY 10A"
"855104","IFS2","YMR080C, IFS2, MOF4, SUP113, SUT2, UPF1","ATP-dependent RNA helicase NAM7"
"100815478","LOC100815478","GLYMA_16G010000","protein TIFY 10A-like"
NA,".",NA,NA
"100812540","LOC100812540","GLYMA_12G059800","transcription initiation factor IIA large subunit"
NA,".",NA,NA
"100527699","LOC100527699","GLYMA_09G118300","uncharacterized LOC100527699"
"100782330","LOC100782330","GLYMA_08G091500","glutamate decarboxylase 1"
"100793725","LOC100793725","GLYMA_03G201100","LEA_2 domain-containing protein"
"100788062","LOC100788062","GLYMA_10G079900","NDR1/HIN1-like protein 10"
"100806172","LOC100806172","GLYMA_06G220700","cucumber peeling cupredoxin"
"100306363","LOC100306363","GLYMA_17G030100","pathogenesis-related protein"
"100799726","LOC100799726","GLYMA_04G119700","trehalose-phosphate phosphatase A"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"778184","LOC778184","GLYMA_12G104800, MYB122","transcription factor MYB30"
NA,".",NA,NA
NA,".",NA,NA
"818982","WRKY39","AT2G43790, ATMAPK6, ATMPK6, F18O19.10, MAP KINASE 6, MAP kinase 6, MAPK6","MAP kinase 6"
"100792351","LOC100792351","GLYMA_20G001400","peroxidase 5"
NA,".",NA,NA
"100808692","LOC100808692","GLYMA_08G169451v4","transcription factor JUNGBRUNNEN 1"
"106794514","LOC106794514","","uncharacterized LOC106794514"
"100812481","LOC100812481","GLYMA_02G296600","zinc finger CCCH domain-containing protein 29"
"100802244","LOC100802244","GLYMA_20G241800","cationic peroxidase 1"
"100806204","LOC100806204","GLYMA_15G052000","high affinity sulfate transporter 2"
"100500585","LOC100500585","GLYMA_17G093500","uncharacterized LOC100500585"
"835318","CRK42","AT5G52420, K24M7.17, K24M7_17","uncharacterized protein"
"547561","LOC547561","GLYMA_16G137200","resistance protein LM12"
"826409","WRKY19","AT4G08500, ARAKIN, ATMEKK1, MAPK/ERK kinase kinase 1, MAPKKK8, T15F16.5, T15F16_5","MAPK/ERK kinase kinase 1"
"100797018","LOC100797018","GLYMA_02G148200","probable aspartic proteinase GIP2"
"100781094","LOC100781094","GLYMA_09G063300","pathogen-associated molecular patterns-induced protein A70"
"102664567","LOC102664567","","extensin-2-like"
"100812586","LOC100812586","GLYMA_13G067900","probable galacturonosyltransferase-like 10"
"100780084","LOC100780084","GLYMA_19G016100","probable galacturonosyltransferase-like 10"
"100779492","LOC100779492","GLYMA_09G281900","isoliquiritigenin 2'-O-methyltransferase-like"
"100526874","LOC100526874","GLYMA_13G133100","C2H2-type zinc finger protein"
"830996","NRT2","AT5G11260, BZIP TRANSCRIPTION FACTOR HY5, ELONGATED HYPOCOTYL 5, F2I11.150, F2I11_150, REVERSAL OF THE DET PHENOTYPE 5, TED 5","Basic-leucine zipper (bZIP) transcription factor family protein"
NA,".",NA,NA
"4327651","WRKY5","OSNPB_010584900, P0712E02.9, WRKY5","WRKY transcription factor SUSIBA2"
"100799496","LOC100799496","GLYMA_09G004800","probable F-box protein At4g22030"
NA,".",NA,NA
"100805895","LOC100805895","GLYMA_09G274000, WRKY","probable WRKY transcription factor 70-like"
"121175294","LOC121175294","GLYMA_08G134200v4","uncharacterized LOC121175294"
"100787739","LOC100787739","GLYMA_04G075800","uncharacterized LOC100787739"
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
NA,".",NA,NA
"121173309","LOC121173309","GLYMA_13G173401v4, CYP93C1, CYP93C1p, ifs2","2-hydroxyisoflavanone synthase"
"100793598","LOC100793598","GLYMA_06G102000","protein PHOSPHATE-INDUCED 1"
"100527550","LOC100527550","GLYMA_09G112700","uncharacterized LOC100527550"
"834354","PHT1-3","AT5G43360, ATPT4, MWF20.5, MWF20_5, PHOSPHATE TRANSPORTER 3, PHT3, phosphate transporter 1;3","phosphate transporter 1;3"
"100817981","LOC100817981","GLYMA_09G179900","heavy metal-associated isoprenylated plant protein 16"
"100807334","LOC100807334","GLYMA_03G016400","uncharacterized LOC100807334"
NA,".",NA,NA
"547483","B15-3-5","GLYMA_03G001500","syringolide-induced protein B15-3-5"
NA,".",NA,NA
NA,".",NA,NA
"100813811","LOC100813811","GLYMA_20G149500","leucine-rich repeat extensin-like protein 6"
"100789402","LOC100789402","GLYMA_07G048900","anthranilate N-methyltransferase"
"100820528","LOC100820528","GLYMA_11G129300","beta-glucosidase 13"
"100783759","LOC100783759","GLYMA_15G177900","serine/threonine-protein kinase RIPK"
"100789744","LOC100789744","GLYMA_13G065300","uncharacterized LOC100789744"
"100527106","LOC100527106","GLYMA_12G204300","protein tfg-1"
"100802020","LOC100802020","GLYMA_18G294300","putative glutamine amidotransferase GAT1_2.1"
NA,".",NA,NA
"100780372","LOC100780372","GLYMA_09G111800","VQ motif-containing protein 25-like"
"100780590","LOC100780590","","receptor-like protein kinase ANXUR2"
NA,".",NA,NA
"106794169","LOC106794169","GLYMA_15G065200","G-type lectin S-receptor-like serine/threonine-protein kinase B120"
"102665380","LOC100802692","","probable serine/threonine-protein kinase At1g18390"
NA,".",NA,NA
"842703","WRKY56","AT1G64000, ATWRKY56, F22C12.23, F22C12_23, WRKY DNA-binding protein 56","WRKY DNA-binding protein 56"
NA,".",NA,NA
"100527006","LOC100527006","GLYMA_01G036600","C2H2-type zinc finger domain-containing protein"
NA,".",NA,NA
"100794600","LOC100794600","GLYMA_19G011700","alpha-dioxygenase 1"
"100792319","LOC100792319","GLYMA_03G215800","probable pectinesterase/pectinesterase inhibitor 41"
"100527564","LOC100527564","GLYMA_08G316000","uncharacterized LOC100527564"
"840119","SYP24","AT1G32270, F27G20.2, SYNTAXIN 24, SYP24","syntaxin"
NA,".",NA,NA
"100798930","LOC100798930","GLYMA_08G277000","probable 1-deoxy-D-xylulose-5-phosphate synthase 2, chloroplastic"
"842814","4CL3","AT1G65060, 4-COUMARATE:COA LIGASE, 4-coumarate:CoA ligase 3, F16G16.6, F16G16_6","4-coumarate:CoA ligase 3"
"100527035","LOC100527035","GLYMA_12G142900","uncharacterized LOC100527035"
NA,".",NA,NA
"100776138","LOC100776138","GLYMA_02G087400","AP2-like ethylene-responsive transcription factor TOE3"
NA,".",NA,NA
"100779770","NAC018","GLYMA_06G157400","NAC transcription factor"
"100783376","LOC100783376","GLYMA_14G016300","zinc finger CCCH domain-containing protein 29"
"100819543","LOC100819543","GLYMA_15G099700","LEC14B homolog"
"100500607","LOC100500607","GLYMA_19G174200","C2H2-type zinc finger protein"
NA,".",NA,NA
"100793946","LOC100793946","GLYMA_05G029000","WRKY transcription factor 72A"
"100800650","LOC100800650","","probable protein phosphatase 2C 58"
"100783677","LOC100783677","","extensin-2-like"
"100793661","LOC100793661","GLYMA_01G172100","uncharacterized LOC100793661"
NA,".",NA,NA
NA,".",NA,NA
"100797561","LOC100797561","GLYMA_02G024200","uncharacterized LOC100797561"
NA,".",NA,NA
NA,".",NA,NA
"100781785","LOC100781785","GLYMA_15G021800","LRR receptor-like serine/threonine-protein kinase IOS1"
"100306214","LOC100306214","GLYMA_11G216900","protein C2-DOMAIN ABA-RELATED 4-like"
NA,".",NA,NA
"100500512","LOC100500512","GLYMA_19G258800","SAUR-like auxin-responsive family protein"
"100499653","LOC100499653","GLYMA_06G259800","TIR-NBS-LRR type disease resistance protein"
"100812879","LOC100812879","GLYMA_03G073776v4","laccase-7"
NA,".",NA,NA
"100809158","LOC100809158","GLYMA_12G057200","extensin"
"100787814","LOC100787814","GLYMA_15G011900","pleiotropic drug resistance protein 1"
"842703","WRKY56","AT1G64000, ATWRKY56, F22C12.23, F22C12_23, WRKY DNA-binding protein 56","WRKY DNA-binding protein 56"
"100791945","LOC100791945","GLYMA_18G096700","uncharacterized LOC100791945"
"100305673","LOC100305673","GLYMA_13G267100","uncharacterized LOC100305673"
"100790322","LOC100790322","GLYMA_16G220500","thioredoxin H9"
"100815089","LOC100815089","GLYMA_14G222400","uncharacterized protein At1g76070"
NA,".",NA,NA
NA,".",NA,NA
"100778559","LOC100778559","GLYMA_07G041400, GmJAZ1, JAZ1, ZINP3","protein TIFY 11B-like"
"100813645","LOC100813645","GLYMA_13G032700","rust resistance kinase Lr10"
"100817249","LOC100817249","GLYMA_01G166100","calcium-dependent protein kinase 28"
"12568","CRK6","Crk6","cyclin-dependent kinase 5"
NA,".",NA,NA
"100819818","LOC100819818","GLYMA_11G178300","calmodulin-binding receptor-like cytoplasmic kinase 2"
"100810910","LOC100810910","GLYMA_04G100300","protein PHOSPHATE-INDUCED 1"
"100812131","LOC100812131","GLYMA_18G271500","receptor-like protein kinase ANXUR2"
"100784249","LOC100784249","GLYMA_13G095100","probable xyloglucan endotransglucosylase/hydrolase protein 23"
NA,".",NA,NA
"100781077","LOC100781077","GLYMA_08G336800","probable amino acid permease 7"
